CITY,year_updated,last_updated_color,population,area
IMPERIAL BEACH,2018,2,26324,11.6158885791548
INDIAN WELLS,2014.0,2,4958,37.7937521051718
INDIO,2019.0,1,76036,86.0776899329858
INDUSTRY,2014.0,2,219,31.2463907825147
INGLEWOOD,2020,1,109673,23.5493594456522
IONE,2009,4,7918,12.0196696754308
IRVINE,2013,3,212375,170.742561590581
IRWINDALE,2008.0,4,1422,24.8951776991539
ISLETON,2020,1,804,1.27210500025637
JACKSON,2015,2,4651,9.6604767931043
JURUPA VALLEY,2017,2,95004,113.131150783882
KERMAN,2016,2,13544,8.46206296764364
KING CITY,1998,4,12874,10.317412949357
KINGSBURG,2005,4,11382,9.18659850128472
LA CAÑADA FLINTRIDGE,2014,3,0,22.3914119979222
LA HABRA,2014,3,60239,19.0623061641991
LA HABRA HEIGHTS,2004,4,5325,15.9577359878352
LA MESA,2013,3,57065,23.5811593689644
LA MIRADA,2014,3,48527,20.3035678263777
LA PALMA,2014,3,15568,4.68013411647854
LA PUENTE,2016,2,39816,9.01180275314692
LA QUINTA,2013,3,37467,92.4019930483436
LA VERNE,2013,3,31063,22.1752550907132
LAFAYETTE,2015,2,23893,39.4025714797621
LAGUNA BEACH,2014,3,22723,25.5429255574234
LAGUNA HILLS,2017,2,30344,17.166919524406
LAGUNA NIGUEL,2013,3,62979,38.312276536051
LAGUNA WOODS,2021,1,16192,8.6657173697132
LAKE ELSINORE,2013,3,51821,112.502363834239
LAKE FOREST,2020,1,77264,43.2805724157594
LAKEPORT,2014,3,4753,8.28395162496122
LAKEWOOD,2013,3,80048,24.5275640074924
LANCASTER,2009,4,156633,244.912097920164
LARKSPUR,2011,3,11926,8.39909628989201
LATHROP,2019,2,18023,59.6546290981438
LAWNDALE,2010.0,3,32769,5.11304545067862
LEMON GROVE,2012,3,25320,10.045429561771
LEMOORE,2016,2,24531,22.0579818252295
LINCOLN,2013,3,42819,54.1348805203372
LINDSAY,2019.0,1,11768,7.07762029233842
LIVE OAK,2016,2,8392,8.0833377485449
LIVERMORE,2017,2,80968,69.7351276055934
LIVINGSTON,2016,2,13058,9.52551580106448
LODI,2011,3,62134,35.9592981496375
LOMA LINDA,2014.0,2,23261,19.4698556936424
LOMITA,2014,3,20256,4.94967796567024
LOMPOC,2019,2,42434,30.2297102655977
LONG BEACH,2019,2,462257,133.322999107012
LOOMIS,2016,2,6430,18.8200395819907
LOS ALAMITOS,2015,2,11449,10.5864295175125
LOS ALTOS,2015,2,28976,16.7683898672915
